2025-11-03 01:25:01.400  WARN 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.cn.taihe.back.user.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2025-11-03 01:25:01.400  WARN 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userPasswordResetMapper' and 'com.cn.taihe.back.user.mapper.UserPasswordResetMapper' mapperInterface. Bean already defined with the same name!
2025-11-03 01:25:01.400 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'categoryMapper' and 'com.cn.taihe.back.category.mapper.CategoryMapper' mapperInterface
2025-11-03 01:25:01.401 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'categoryMapper'.
2025-11-03 01:25:01.401 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'dateMapper' and 'com.cn.taihe.back.category.mapper.DateMapper' mapperInterface
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'dateMapper'.
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'productMapper' and 'com.cn.taihe.back.product.mapper.ProductMapper' mapperInterface
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'productMapper'.
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'changeLogMapper' and 'com.cn.taihe.back.suppliers.mapper.ChangeLogMapper' mapperInterface
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'changeLogMapper'.
2025-11-03 01:25:01.402 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'contactMapper' and 'com.cn.taihe.back.suppliers.mapper.ContactMapper' mapperInterface
2025-11-03 01:25:01.403 DEBUG 50559 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'contactMapper'.
